Ae/Ae47.txt,YHe/YHe14.txt,YHe/YHe14.txt,390000,36,29,57,57,83,64,740,810,900,11360,8900,11310,0.029246091842651367,-31773255.269399002,0.407070675,-369521848.730799000
Ae/Ae19.txt,YHe/YHe10.txt,YHe/YHe10.txt,300000,80,33,18,83,94,99,770,970,920,10560,8960,11820,0.02181243896484375,-35241901.10122,0.341962511,-582266359.861770600
YHe/YHe27.txt,A/A17.txt,A/A17.txt,270000,78,90,78,64,44,71,930,750,800,10060,8890,9930,0.025204896926879883,-54693919.58904,0.392138516,-246668776.975488040
YHe/YHe55.txt,YHe/YHe29.txt,YHe/YHe29.txt,270000,31,47,20,81,18,85,850,900,930,8180,9100,10320,0.023153066635131836,-19613469.69114,0.429596245,-112644243.718039590
Ae/Ae8.txt,YH/YH37.txt,YH/YH37.txt,420000,7,9,94,5,73,13,960,770,750,11360,11760,10950,0.03205990791320801,-7833559.784403,0.419754444,-47623331.342874035
YHe/YHe48.txt,YH/YH22.txt,YH/YH22.txt,420000,15,97,68,60,27,49,800,730,710,11800,8600,9870,0.02907705307006836,-25583573.580555,0.486481366,-123571520.444290920
YH/YH47.txt,YH/YH42.txt,YH/YH42.txt,300000,23,80,49,24,32,17,820,910,830,10890,8730,11010,0.025485754013061523,-16126918.418921998,0.517153562,-112383222.942805230
YH/YH11.txt,YHe/YHe36.txt,YHe/YHe36.txt,330000,33,13,35,37,58,2,760,750,980,8260,8680,9150,0.03378915786743164,-6651995.400163999,0.487333136,-15814910.230941998
Ae/Ae40.txt,YH/YH3.txt,YH/YH3.txt,240000,69,40,3,60,91,98,800,750,980,8660,10310,8350,0.030393362045288086,-34503491.601296,0.474416762,-293222229.722596170
YH/YH19.txt,YHe/YHe10.txt,YHe/YHe10.txt,390000,69,79,47,80,90,12,900,740,890,8630,8170,8540,0.032865047454833984,-42987176.16303,0.476826529,-78293447.171472040
Ae/Ae1.txt,Ae/Ae27.txt,Ae/Ae27.txt,300000,79,41,78,19,7,16,860,970,830,10960,11330,9490,0.025136232376098633,-11187270.453456001,0.31518646,-62819388.164215430
YHe/YHe1.txt,Ae/Ae14.txt,Ae/Ae14.txt,390000,24,49,85,27,11,58,790,730,850,11790,8740,9290,0.02302837371826172,-18469634.274745997,0.359571194,-70253030.616871970
Ae/Ae6.txt,Ae/Ae9.txt,Ae/Ae9.txt,450000,74,84,92,42,28,41,970,990,800,9630,9450,9400,0.02228546142578125,-31237678.131208003,0.332200584,-212017811.940608000
Ae/Ae39.txt,YH/YH40.txt,YH/YH40.txt,390000,18,38,54,94,76,5,980,890,970,10050,9250,9850,0.03130459785461426,-17540969.032128002,0.490938373,-43076778.166549735
YHe/YHe3.txt,YHe/YHe45.txt,YHe/YHe45.txt,390000,34,88,70,91,4,5,840,960,900,9320,9640,9080,0.03234124183654785,-13002207.8467,0.410500709,-32181104.225327976
Ae/Ae31.txt,A/A18.txt,A/A18.txt,420000,39,84,92,66,26,9,910,840,890,9900,11540,11640,0.019474029541015625,-16715352.323772,0.253785799,-96789645.092501950
