Ae/Ae29.txt,Ae/Ae43.txt,YHe/YHe9.txt,YHe/YHe50.txt,YHe/YHe42.txt,YHe/YHe39.txt,YH/YH0.txt,YH/YH0.txt,800000,61,28,56,12,8,92,60,51,22,44,50,72,62,88,75,23,800,830,940,990,960,840,990,810,8130,11980,9700,9080,11670,10960,9820,9890,17.3988835811615,-81886148.131662,3.354327226,-150761580.578976000
A/A15.txt,Ae/Ae30.txt,YH/YH12.txt,YHe/YHe43.txt,YH/YH36.txt,YHe/YHe33.txt,YH/YH54.txt,YH/YH54.txt,720000,91,42,87,44,44,90,62,23,71,45,71,72,76,27,74,16,920,770,830,790,810,750,770,800,8340,10670,11180,11220,11570,9370,8190,10400,16.950692176818848,-109778527.43584901,3.340605316,-129802665.042418840
A/A19.txt,Ae/Ae30.txt,Ae/Ae24.txt,Ae/Ae9.txt,A/A18.txt,YHe/YHe53.txt,Ae/Ae20.txt,Ae/Ae20.txt,800000,37,13,29,4,84,62,30,49,72,60,15,10,39,4,32,6,910,930,840,980,730,880,790,900,11240,9870,9610,8220,10640,11840,8890,10070,10.72601842880249,-24035983.225755,2.265632483,-125277087.921300590
YH/YH26.txt,YH/YH29.txt,YHe/YHe3.txt,A/A24.txt,A/A43.txt,Ae/Ae36.txt,YHe/YHe24.txt,YHe/YHe24.txt,880000,94,22,39,41,91,97,88,59,61,22,45,33,37,4,83,34,880,980,810,760,910,730,740,740,10160,9280,10060,11140,10200,8460,9250,8930,19.08007311820984,-86424996.70243698,3.225801931,-53121875.140832750
YHe/YHe39.txt,Ae/Ae42.txt,A/A37.txt,YHe/YHe55.txt,Ae/Ae28.txt,A/A26.txt,Ae/Ae24.txt,Ae/Ae24.txt,960000,63,4,84,27,72,71,83,60,53,57,96,85,98,73,65,98,820,890,990,770,910,990,860,990,11290,8460,11590,8540,10440,9170,11450,11710,17.869028568267822,-146243254.56708202,2.948935216,-391563526.810873150
YHe/YHe19.txt,YH/YH29.txt,YHe/YHe49.txt,YH/YH38.txt,YH/YH38.txt,Ae/Ae31.txt,Ae/Ae38.txt,Ae/Ae38.txt,1120000,45,18,39,58,1,81,52,1,22,43,94,20,95,99,6,81,970,710,700,700,850,830,890,770,9090,11220,10880,8290,8380,9160,10640,9790,17.280088901519775,-54191138.59103499,3.382775902,-72890500.809032800
Ae/Ae15.txt,A/A14.txt,YHe/YHe7.txt,A/A2.txt,Ae/Ae8.txt,A/A49.txt,A/A46.txt,A/A46.txt,1200000,65,79,5,82,29,4,83,88,82,59,30,40,61,36,87,7,870,820,870,820,890,950,840,700,9470,9360,9860,10270,11400,8430,9470,11290,10.210454940795898,-72238138.441506,2.514777113,-156095891.740972760
A/A16.txt,YT/YT0.txt,YHe/YHe2.txt,Ae/Ae25.txt,Ae/Ae29.txt,YHe/YHe34.txt,YH/YH8.txt,YH/YH8.txt,1200000,70,91,90,94,95,57,91,48,20,79,2,84,65,6,96,45,770,880,980,790,880,920,880,760,10650,10630,10560,8670,9620,9290,8540,8290,16.137495517730713,-120000390.80805999,3.136518331,-132775061.721763040
YHe/YHe7.txt,YHe/YHe5.txt,A/A9.txt,YH/YH5.txt,YHe/YHe37.txt,YH/YH30.txt,Ae/Ae9.txt,Ae/Ae9.txt,1200000,54,78,37,27,3,22,93,61,9,96,50,74,1,88,70,99,880,950,710,910,730,870,930,950,8410,8980,8390,11030,8580,11070,10800,9590,15.276741981506348,-98510567.53534602,3.207027199,-72177904.525611450
Ae/Ae19.txt,YH/YH25.txt,YHe/YHe36.txt,Ae/Ae3.txt,A/A38.txt,YH/YH8.txt,A/A31.txt,A/A31.txt,960000,5,28,91,83,86,29,94,29,45,82,82,57,14,62,7,92,840,940,800,740,700,930,840,880,11770,9920,8180,8870,11640,9000,11170,10320,15.630597352981567,-76029519.904761,3.116834705,-119462211.834186030
YHe/YHe48.txt,YH/YH33.txt,YH/YH39.txt,YH/YH3.txt,Ae/Ae9.txt,YHe/YHe23.txt,A/A28.txt,A/A28.txt,880000,38,10,79,86,93,41,46,15,35,92,12,82,52,71,61,44,710,840,730,910,800,770,800,770,11330,8050,9220,11020,11330,9200,8520,10850,17.575395107269287,-87372290.027769,3.188986732,-102063834.391184640
Ae/Ae24.txt,YH/YH29.txt,Ae/Ae36.txt,YH/YH24.txt,YH/YH29.txt,A/A26.txt,YHe/YHe44.txt,YHe/YHe44.txt,880000,41,5,20,73,55,17,75,99,10,15,49,80,68,45,97,37,830,990,800,780,790,840,930,930,10710,9350,9390,8840,9450,10300,11440,10530,16.20571804046631,-88698309.781795,3.146479884,-110833856.361719710
